workflow,package_index,section,tokens,cost_usd,calibration
Ideation,2,Run Context,48,0.001898,measured_plus_unallocated_missing_context
Ideation,2,Available Assets,63,0.002491,measured_plus_unallocated_missing_context
Ideation,2,Anti-Repetition / Recent Memory,35,0.001384,measured_plus_unallocated_missing_context
Ideation,2,Selected Directions / Concepts,20,0.000791,measured_plus_unallocated_missing_context
Ideation,2,Selected Directions / Concepts,232,0.009173,measured_plus_unallocated_missing_context
Ideation,2,Selected Directions / Concepts,211,0.008343,measured_plus_unallocated_missing_context
Ideation,2,Selected Directions / Concepts,221,0.008738,measured_plus_unallocated_missing_context
Ideation,2,Hard Constraints,311,0.012297,measured_plus_unallocated_missing_context
Ideation,2,Output JSON Shape,350,0.013839,measured_plus_unallocated_missing_context
Ideation,2,unallocated_missing_context,1668,0.065953,measured_plus_unallocated_missing_context
Creative Critic,2,System Prompt,37,0.000316,scaled_down_to_telemetry
Creative Critic,2,Scoring Instructions,5,0.000043,scaled_down_to_telemetry
Creative Critic,2,Strategy Item,88,0.000751,scaled_down_to_telemetry
Creative Critic,2,Scoring Instructions,26,0.000222,scaled_down_to_telemetry
Creative Critic,2,Selected Directions / Concepts,503,0.004292,scaled_down_to_telemetry
Creative Critic,2,Selected Directions / Concepts,496,0.004233,scaled_down_to_telemetry
Creative Critic,2,Selected Directions / Concepts,501,0.004275,scaled_down_to_telemetry
Creative Critic,2,Selected Directions / Concepts,505,0.004309,scaled_down_to_telemetry
Creative Critic,2,Selected Directions / Concepts,544,0.004642,scaled_down_to_telemetry
Creative Critic,2,Selected Directions / Concepts,527,0.004497,scaled_down_to_telemetry
Creative Critic,2,Output JSON Shape,67,0.000572,scaled_down_to_telemetry
Presentation Generation,2,System Prompt,88,0.000511,measured_plus_unallocated_missing_context
Presentation Generation,2,Product Brain,565,0.003280,measured_plus_unallocated_missing_context
Presentation Generation,2,Hard Constraints,61,0.000354,measured_plus_unallocated_missing_context
Presentation Generation,2,Pain Points,417,0.002421,measured_plus_unallocated_missing_context
Presentation Generation,2,Proof Pool,205,0.001190,measured_plus_unallocated_missing_context
Presentation Generation,2,Scenario Pool,585,0.003396,measured_plus_unallocated_missing_context
Presentation Generation,2,Website Rules,377,0.002188,measured_plus_unallocated_missing_context
Presentation Generation,2,Funnel Asset Policy,80,0.000464,measured_plus_unallocated_missing_context
Presentation Generation,2,Strategy Item,41,0.000238,measured_plus_unallocated_missing_context
Presentation Generation,2,Creative Directive / Safety,222,0.001289,measured_plus_unallocated_missing_context
Presentation Generation,2,Creative Directive / Safety,156,0.000906,measured_plus_unallocated_missing_context
Presentation Generation,2,Package Diversity,177,0.001027,measured_plus_unallocated_missing_context
Presentation Generation,2,Attention First,288,0.001672,measured_plus_unallocated_missing_context
Presentation Generation,2,Creative Candidate,2462,0.014291,measured_plus_unallocated_missing_context
Presentation Generation,2,Creative DNA,544,0.003158,measured_plus_unallocated_missing_context
Presentation Generation,2,Content Quality,354,0.002055,measured_plus_unallocated_missing_context
Presentation Generation,2,Hook V2,329,0.001910,measured_plus_unallocated_missing_context
Presentation Generation,2,Visual Creative Rules,137,0.000795,measured_plus_unallocated_missing_context
Presentation Generation,2,Visual Creative Rules,1674,0.009717,measured_plus_unallocated_missing_context
Presentation Generation,2,Available Assets,861,0.004998,measured_plus_unallocated_missing_context
Presentation Generation,2,Asset Evidence,110,0.000639,measured_plus_unallocated_missing_context
Presentation Generation,2,Smart Asset Rules,421,0.002444,measured_plus_unallocated_missing_context
Presentation Generation,2,Presentation Block,2385,0.013844,measured_plus_unallocated_missing_context
Presentation Generation,2,Visual Scene Plan,244,0.001416,measured_plus_unallocated_missing_context
Presentation Generation,2,Asset Library Rules,161,0.000935,measured_plus_unallocated_missing_context
Presentation Generation,2,Platform Style,145,0.000842,measured_plus_unallocated_missing_context
Presentation Generation,2,Platform Style,653,0.003790,measured_plus_unallocated_missing_context
Presentation Generation,2,Task / Output JSON Shape,556,0.003227,measured_plus_unallocated_missing_context
Presentation Generation,2,unallocated_missing_context,39181,0.227428,measured_plus_unallocated_missing_context
Story Integrity Repair,2,System Prompt,88,0.000452,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Product Brain,565,0.002904,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Hard Constraints,61,0.000314,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Pain Points,417,0.002144,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Proof Pool,205,0.001054,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Scenario Pool,585,0.003007,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Website Rules,377,0.001938,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Funnel Asset Policy,80,0.000411,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Strategy Item,41,0.000211,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Creative Directive / Safety,222,0.001141,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Creative Directive / Safety,156,0.000802,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Package Diversity,177,0.000910,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Attention First,288,0.001480,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Creative Candidate,2462,0.012655,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Creative DNA,544,0.002796,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Content Quality,354,0.001820,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Hook V2,329,0.001691,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Visual Creative Rules,137,0.000704,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Visual Creative Rules,1674,0.008605,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Available Assets,861,0.004426,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Asset Evidence,110,0.000565,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Smart Asset Rules,421,0.002164,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Presentation Block,2385,0.012260,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Visual Scene Plan,244,0.001254,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Asset Library Rules,161,0.000828,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Platform Style,145,0.000745,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Platform Style,653,0.003357,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Task / Output JSON Shape,556,0.002858,measured_plus_unallocated_missing_context
Story Integrity Repair,2,Repair Appendix,24,0.000123,measured_plus_unallocated_missing_context
Story Integrity Repair,2,unallocated_missing_context,11532,0.059278,measured_plus_unallocated_missing_context
Direction,6,System Prompt,86,0.001467,measured_plus_unallocated_missing_context
Direction,6,Unlabelled Prompt,19,0.000324,measured_plus_unallocated_missing_context
Direction,6,Product Brain,475,0.008103,measured_plus_unallocated_missing_context
Direction,6,Strategy Item,42,0.000717,measured_plus_unallocated_missing_context
Direction,6,Run Context,37,0.000631,measured_plus_unallocated_missing_context
Direction,6,Anti-Repetition / Recent Memory,40,0.000682,measured_plus_unallocated_missing_context
Direction,6,Direction Definition,112,0.001911,measured_plus_unallocated_missing_context
Direction,6,Hard Constraints,119,0.002030,measured_plus_unallocated_missing_context
Direction,6,Output JSON Shape,127,0.002167,measured_plus_unallocated_missing_context
Direction,6,unallocated_missing_context,1017,0.017350,measured_plus_unallocated_missing_context
Direction Evaluation,6,System Prompt,69,0.001014,measured_plus_unallocated_missing_context
Direction Evaluation,6,Unlabelled Prompt,18,0.000265,measured_plus_unallocated_missing_context
Direction Evaluation,6,Strategy Item,171,0.002514,measured_plus_unallocated_missing_context
Direction Evaluation,6,Anti-Repetition / Recent Memory,11,0.000162,measured_plus_unallocated_missing_context
Direction Evaluation,6,Scoring Instructions,39,0.000573,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,280,0.004117,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,295,0.004337,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,300,0.004411,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,287,0.004220,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,284,0.004176,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,284,0.004176,measured_plus_unallocated_missing_context
Direction Evaluation,6,Selected Directions / Concepts,300,0.004411,measured_plus_unallocated_missing_context
Direction Evaluation,6,Output JSON Shape,134,0.001970,measured_plus_unallocated_missing_context
Direction Evaluation,6,unallocated_missing_context,153,0.002250,measured_plus_unallocated_missing_context
Ideation,6,System Prompt,60,0.002303,measured_plus_unallocated_missing_context
Ideation,6,Unlabelled Prompt,46,0.001766,measured_plus_unallocated_missing_context
Ideation,6,Product Brain,482,0.018501,measured_plus_unallocated_missing_context
Ideation,6,Strategy Item,42,0.001612,measured_plus_unallocated_missing_context
Ideation,6,Run Context,46,0.001766,measured_plus_unallocated_missing_context
Ideation,6,Available Assets,63,0.002418,measured_plus_unallocated_missing_context
Ideation,6,Anti-Repetition / Recent Memory,35,0.001343,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,20,0.000768,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,207,0.007945,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,211,0.008099,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,204,0.007830,measured_plus_unallocated_missing_context
Ideation,6,Hard Constraints,311,0.011937,measured_plus_unallocated_missing_context
Ideation,6,Output JSON Shape,350,0.013434,measured_plus_unallocated_missing_context
Ideation,6,unallocated_missing_context,1949,0.074810,measured_plus_unallocated_missing_context
Ideation,6,System Prompt,60,0.002485,measured_plus_unallocated_missing_context
Ideation,6,Unlabelled Prompt,46,0.001905,measured_plus_unallocated_missing_context
Ideation,6,Product Brain,482,0.019960,measured_plus_unallocated_missing_context
Ideation,6,Strategy Item,42,0.001739,measured_plus_unallocated_missing_context
Ideation,6,Run Context,46,0.001905,measured_plus_unallocated_missing_context
Ideation,6,Available Assets,63,0.002609,measured_plus_unallocated_missing_context
Ideation,6,Anti-Repetition / Recent Memory,35,0.001449,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,20,0.000828,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,207,0.008572,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,211,0.008738,measured_plus_unallocated_missing_context
Ideation,6,Selected Directions / Concepts,204,0.008448,measured_plus_unallocated_missing_context
Ideation,6,Hard Constraints,311,0.012879,measured_plus_unallocated_missing_context
Ideation,6,Output JSON Shape,350,0.014494,measured_plus_unallocated_missing_context
Ideation,6,unallocated_missing_context,2052,0.084973,measured_plus_unallocated_missing_context
Creative Critic,6,System Prompt,37,0.000319,scaled_down_to_telemetry
Creative Critic,6,Scoring Instructions,5,0.000043,scaled_down_to_telemetry
Creative Critic,6,Strategy Item,87,0.000751,scaled_down_to_telemetry
Creative Critic,6,Scoring Instructions,25,0.000216,scaled_down_to_telemetry
Creative Critic,6,Selected Directions / Concepts,574,0.004956,scaled_down_to_telemetry
Creative Critic,6,Selected Directions / Concepts,587,0.005068,scaled_down_to_telemetry
Creative Critic,6,Selected Directions / Concepts,607,0.005241,scaled_down_to_telemetry
Creative Critic,6,Selected Directions / Concepts,583,0.005034,scaled_down_to_telemetry
Creative Critic,6,Selected Directions / Concepts,601,0.005189,scaled_down_to_telemetry
Creative Critic,6,Selected Directions / Concepts,622,0.005370,scaled_down_to_telemetry
Creative Critic,6,Output JSON Shape,66,0.000570,scaled_down_to_telemetry
Presentation Generation,6,System Prompt,88,0.000027,measured_plus_unallocated_missing_context
Presentation Generation,6,Product Brain,565,0.000174,measured_plus_unallocated_missing_context
Presentation Generation,6,Hard Constraints,61,0.000019,measured_plus_unallocated_missing_context
Presentation Generation,6,Pain Points,417,0.000129,measured_plus_unallocated_missing_context
Presentation Generation,6,Proof Pool,205,0.000063,measured_plus_unallocated_missing_context
Presentation Generation,6,Scenario Pool,585,0.000181,measured_plus_unallocated_missing_context
Presentation Generation,6,Website Rules,377,0.000116,measured_plus_unallocated_missing_context
